Table 6: Number of Canada Recovery Benefit (CRB) applications and total gross amount (in $000) by province and territory and eligibility period,,,
,,,
Eligibility Period,Province/Territory,Number of Applications,Total Gross Amount ($000)
21: 2021-07-04 to 2021-07-17,Outside Canada,200,200
21: 2021-07-04 to 2021-07-17,Missing,-,-
21: 2021-07-04 to 2021-07-17,Total,957400,957400
22: 2021-07-18 to 2021-07-31,Newfoundland and Labrador,8600,7110
22: 2021-07-18 to 2021-07-31,Prince Edward Island,2070,1710
22: 2021-07-18 to 2021-07-31,Nova Scotia,18970,16000
22: 2021-07-18 to 2021-07-31,New Brunswick,12030,10000
22: 2021-07-18 to 2021-07-31,Quebec,136400,114400
22: 2021-07-18 to 2021-07-31,Ontario,440000,369180
22: 2021-07-18 to 2021-07-31,Manitoba,25830,22380
22: 2021-07-18 to 2021-07-31,Saskatchewan,22920,19840
22: 2021-07-18 to 2021-07-31,Alberta,117590,100200
22: 2021-07-18 to 2021-07-31,British Columbia,118710,99950
22: 2021-07-18 to 2021-07-31,Yukon,810,720
22: 2021-07-18 to 2021-07-31,Northwest Territories,1180,1040
22: 2021-07-18 to 2021-07-31,Nunavut,930,860
22: 2021-07-18 to 2021-07-31,Outside Canada,170,160
22: 2021-07-18 to 2021-07-31,Missing,-,-
22: 2021-07-18 to 2021-07-31,Total,906210,763560
23: 2021-08-01 to 2021-08-14,Newfoundland and Labrador,7730,6070
23: 2021-08-01 to 2021-08-14,Prince Edward Island,1840,1440
23: 2021-08-01 to 2021-08-14,Nova Scotia,16910,13620
23: 2021-08-01 to 2021-08-14,New Brunswick,10850,8550
23: 2021-08-01 to 2021-08-14,Quebec,119250,94600
23: 2021-08-01 to 2021-08-14,Ontario,377040,300100
23: 2021-08-01 to 2021-08-14,Manitoba,22390,18390
23: 2021-08-01 to 2021-08-14,Saskatchewan,20100,16470
23: 2021-08-01 to 2021-08-14,Alberta,101720,82190
23: 2021-08-01 to 2021-08-14,British Columbia,100820,80420
23: 2021-08-01 to 2021-08-14,Yukon,690,580
23: 2021-08-01 to 2021-08-14,Northwest Territories,1020,860
23: 2021-08-01 to 2021-08-14,Nunavut,750,670
23: 2021-08-01 to 2021-08-14,Outside Canada,150,130
23: 2021-08-01 to 2021-08-14,Missing,-,-
23: 2021-08-01 to 2021-08-14,Total,781250,624080
Total Applications for All Periods,Newfoundland and Labrador,260800,257660
Total Applications for All Periods,Prince Edward Island,62580,61810
Total Applications for All Periods,Nova Scotia,527620,521360
Total Applications for All Periods,New Brunswick,348610,344290
Total Applications for All Periods,Quebec,4120040,4073400
Total Applications for All Periods,Ontario,11946960,11799200
Total Applications for All Periods,Manitoba,718440,710980
Total Applications for All Periods,Saskatchewan,635410,628710
Total Applications for All Periods,Alberta,3304730,3267810
Total Applications for All Periods,British Columbia,3245780,3206630
Total Applications for All Periods,Yukon,23480,23280
Total Applications for All Periods,Northwest Territories,32850,32550
Total Applications for All Periods,Nunavut,20790,20630
Total Applications for All Periods,Outside Canada,7170,7140
Total Applications for All Periods,Missing,-,-
Total Applications for All Periods,Total,25255270,24955450
,,,
 ,,,
Notes:,,,
1. Data are as of August 29 2021 and are subject to change as more applications are received.,,,
2. Number of applications and applicant province of residence are obtained from the Canada Recovery Benefit (CRB) file.,,,
3. Figures are stated for applicants who applied for the CRB through Canada Revenue Agency's My Account portal and the Interactive Voice Response system. These figures also include manual applications.,,,
4. Applicants whose residence is outside of Canada are grouped in the category 'Outside Canada.' Applicants must reside and be present in Canada during the period(s) for which they are applying.,,,
5. Applicants who do not have a valid province of residence registered within CRA systems are grouped in the category 'Missing.',,,
6. The gross amount is the total before taxes are withheld. The Canada Revenue Agency withholds a 10% tax at source for each CRB payment issued.,,,
7. The gross amount has been reduced from $1000 to $600 for applicants who exceed 21 payments or whose first time applying for CRB is for period 22 or later.,,,
8. All counts are rounded to the nearest ten and all amounts are rounded and in thousands of dollars. The sum of the data may not add to the total due to rounding and/or suppression.,,,
9. A hyphen [-] indicates that the information has been suppressed for confidentiality purposes. Suppressed information also includes valid zeros.,,,
